order_item_id,order_id,product_id,quantity,unit_price,line_total
1,1,63,2,270.59,541.18
2,1,31,3,129.91,389.73
3,1,36,1,63.94,63.94
4,1,57,2,417.74,835.48
5,1,10,2,108.97,217.94
6,2,9,4,210.23,840.92
7,2,54,2,261.72,523.44
8,3,50,1,32.86,32.86
9,3,75,3,440.83,1322.49
10,3,3,4,388.28,1553.12
11,3,74,2,129.63,259.26
12,4,29,3,298.41,895.23
13,4,35,4,257.71,1030.84
14,4,56,4,166.44,665.76
15,4,63,1,281.29,281.29
16,5,76,2,337.17,674.34
17,5,73,2,229.52,459.04
18,5,4,4,194.62,778.48
19,5,11,4,49.15,196.6
20,6,44,4,401.43,1605.72
21,6,49,1,441.87,441.87
22,6,36,1,58.93,58.93
23,7,29,2,346.19,692.38
24,7,9,1,201.31,201.31
25,7,6,2,105.93,211.86
26,8,61,2,321.46,642.92
27,8,15,3,276.31,828.93
28,9,22,2,337.05,674.1
29,9,78,1,225.33,225.33
30,9,15,3,282.64,847.92
31,10,49,2,482.62,965.24
32,10,51,3,338.05,1014.15
33,10,26,1,440.64,440.64
34,10,10,1,118.19,118.19
35,10,76,4,317.79,1271.16
36,11,9,4,193.31,773.24
37,11,65,1,498.26,498.26
38,11,44,3,377.09,1131.27
39,12,20,3,205.76,617.28
40,12,56,4,162.99,651.96
41,12,23,3,232.18,696.54
42,12,67,2,49.85,99.7
43,13,36,2,63.8,127.6
44,14,73,3,193.67,581.01
45,14,79,2,405.45,810.9
46,14,49,3,451.4,1354.2
47,14,44,3,369.97,1109.91
48,15,2,4,147.35,589.4
49,15,67,2,52.26,104.52
50,15,25,4,171.83,687.32
51,15,11,1,50.38,50.38
52,15,31,2,125.04,250.08
53,16,32,3,281.37,844.11
54,16,40,3,356.37,1069.11
55,16,75,4,392.97,1571.88
56,16,48,3,157.88,473.64
57,17,16,2,96.48,192.96
58,17,25,4,155.31,621.24
59,18,76,1,313.58,313.58
60,18,68,3,228.95,686.85
61,18,77,2,438.28,876.56
62,19,2,1,134.77,134.77
63,19,69,2,369.79,739.58
64,19,17,4,341.49,1365.96
65,20,2,4,143.23,572.92
66,21,57,4,428.02,1712.08
67,21,44,1,352.67,352.67
68,21,24,1,315.41,315.41
69,21,7,1,230.86,230.86
70,22,20,1,205.15,205.15
71,22,73,1,234.95,234.95
72,23,54,4,280.88,1123.52
73,23,78,4,204.13,816.52
74,23,77,4,444.76,1779.04
75,23,80,1,185.09,185.09
76,23,29,1,336.66,336.66
77,24,28,2,486.88,973.76
78,24,34,1,107.65,107.65
79,25,1,4,318.34,1273.36
80,25,53,2,317.74,635.48
81,26,37,3,354.65,1063.95
82,26,59,2,16.3,32.6
83,26,10,2,109.91,219.82
84,27,35,2,227.92,455.84
85,27,19,3,150.95,452.85
86,28,16,4,109.05,436.2
87,28,60,1,112.59,112.59
88,28,39,3,139.53,418.59
89,28,52,1,274.26,274.26
90,29,30,1,499.98,499.98
91,30,74,4,127.89,511.56
92,30,6,2,112.03,224.06
93,30,23,4,257.06,1028.24
94,31,12,1,410.36,410.36
95,31,61,3,340.11,1020.33
96,31,45,4,308.96,1235.84
97,31,53,4,317.54,1270.16
98,32,5,4,109.23,436.92
99,32,59,1,16.53,16.53
100,32,12,4,437.9,1751.6
101,32,41,2,316.69,633.38
102,32,33,4,295.46,1181.84
103,33,7,3,210.58,631.74
104,33,27,4,135.83,543.32
105,33,35,2,230.42,460.84
106,33,71,3,449.64,1348.92
107,34,2,1,155.04,155.04
108,34,71,1,428.2,428.2
109,34,53,2,341.38,682.76
110,34,12,3,424.37,1273.11
111,34,29,3,330.02,990.06
112,35,62,4,457.83,1831.32
113,35,61,2,297.76,595.52
114,35,32,3,303.48,910.44
115,35,59,4,16.25,65.0
116,36,65,3,447.75,1343.25
117,36,35,4,266.12,1064.48
118,36,1,4,345.01,1380.04
119,37,62,3,442.05,1326.15
120,37,45,2,337.77,675.54
121,37,43,2,483.99,967.98
122,37,71,4,462.26,1849.04
123,37,70,4,185.65,742.6
124,38,50,3,31.15,93.45
125,38,20,4,202.16,808.64
126,38,64,4,225.64,902.56
127,38,5,2,102.25,204.5
128,39,20,4,182.16,728.64
129,39,10,3,114.92,344.76
130,39,61,4,339.77,1359.08
131,39,34,4,123.87,495.48
132,40,5,1,124.49,124.49
133,40,80,1,190.05,190.05
134,40,9,1,225.34,225.34
135,40,31,3,134.59,403.77
136,40,37,1,369.42,369.42
137,41,8,2,424.4,848.8
138,41,38,4,183.98,735.92
139,41,46,2,192.6,385.2
140,42,23,4,238.94,955.76
141,42,11,2,52.13,104.26
142,43,75,4,416.14,1664.56
143,43,19,1,135.62,135.62
144,43,30,4,494.22,1976.88
145,43,60,2,123.16,246.32
146,44,57,3,490.41,1471.23
147,45,33,4,323.77,1295.08
148,45,59,4,14.2,56.8
149,45,39,3,131.31,393.93
